City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,la ronge,55.1001,-105.2842,34.05,69,75,3.44,CA,1706484045
138,sur,22.5667,59.5289,73.26,70,54,7.27,OM,1706484045
139,wanlaweyn,2.6185,44.8938,78.51,81,73,10.36,SO,1706484045
140,nogliki,51.8333,143.1667,1.35,98,95,5.01,RU,1706484046
141,hamilton,39.1834,-84.5333,39.42,93,100,14.97,US,1706484046
142,nova sintra,14.8667,-24.7167,71.26,64,1,16.91,CV,1706483772
143,west island,-12.1568,96.8225,78.78,69,40,10.36,CC,1706484046
144,broken hill,-31.95,141.4333,83.34,24,0,4.14,AU,1706484046
145,st. john's,47.5649,-52.7093,30.67,83,100,13.8,CA,1706484046
146,itaituba,-4.2761,-55.9836,73.98,99,100,2.08,BR,1706484046
147,namibe,-15.1961,12.1522,74.39,76,40,7.2,AO,1706484046
148,petropavlovsk-kamchatsky,53.0452,158.6483,14.45,87,0,11.18,RU,1706484047
149,moose jaw,50.4001,-105.5344,43.07,70,75,16.11,CA,1706484047
150,longquan,24.6719,102.1613,46.42,92,60,4.36,CN,1706484047
151,chibougamau,49.9168,-74.3659,15.42,86,100,8.05,CA,1706484047
152,kratie,12.4881,106.0188,72.93,65,32,9.19,KH,1706484047
153,isangel,-19.55,169.2667,82.18,62,85,3.69,VU,1706484047
154,yemel'yanovo,56.1681,92.6767,-8.91,84,99,2.24,RU,1706484047
155,argo,37.6333,22.7333,40.77,64,23,4.38,GR,1706484047
156,puerto deseado,-47.7503,-65.8938,66.33,39,100,18.1,AR,1706484047
157,kirakira,-10.4544,161.9205,84.09,77,100,7.02,SB,1706484047
158,weno,7.4515,151.8468,80.55,83,100,6.91,FM,1706484048
159,enewetak,11.3474,162.3373,79.11,72,99,16.96,MH,1706484048
160,bargaal,11.2864,51.0773,77.54,79,100,4.36,SO,1706484048
161,mejit,10.2753,170.8646,77.7,74,100,12.5,MH,1706484048
162,sosnovo-ozerskoye,52.5249,111.5418,-26.73,99,100,3.67,RU,1706484048
163,greytown,-29.0642,30.5928,61.99,97,71,3.62,ZA,1706484048
164,diapaga,12.0708,1.7889,73.63,14,0,8.57,BF,1706484048
165,kuta,-8.7233,115.1723,80.55,83,40,3.44,ID,1706484048
166,howrah,22.5892,88.3103,57.2,82,20,0.0,IN,1706484049
167,uturoa,-16.7333,-151.4333,83.17,76,31,7.72,PF,1706484049
168,pisco,-13.7,-76.2167,80.65,65,0,16.11,PE,1706484049
169,nova xavantina,-14.6667,-52.35,78.51,64,61,5.59,BR,1706484049
170,borogontsy,62.6683,131.1683,-39.68,99,98,2.75,RU,1706484049
171,haiku-pauwela,20.9219,-156.3051,80.62,69,40,21.85,US,1706484049
172,barcelos,41.5388,-8.6151,60.69,76,100,5.26,PT,1706484049
173,champerico,14.3,-91.9167,91.94,66,21,11.05,GT,1706484049
174,kone,-21.0595,164.8658,86.11,53,19,4.61,NC,1706484049
175,port elizabeth,-33.918,25.5701,70.32,74,0,10.36,ZA,1706484049
176,ponta delgada,37.7333,-25.6667,54.32,71,20,6.91,PT,1706484050
177,mushie,-3.0167,16.9,77.76,78,100,3.42,CD,1706484050
178,olyokminsk,60.3736,120.4264,-41.94,100,88,0.34,RU,1706484050
179,altai,46.3722,96.2583,1.49,50,70,1.3,MN,1706484050
180,keflavik,64.0049,-22.5624,30.63,100,100,29.93,IS,1706484050
